TransactionDate,SellerId,Trans_amount
2019-03-31T00:00:00.000Z,13,752050
2019-04-15T00:00:00.000Z,13,87500
2019-04-15T00:00:00.000Z,13,24375
2019-04-15T00:00:00.000Z,13,3812250
2019-03-31T00:00:00.000Z,13,399450
2019-04-15T00:00:00.000Z,13,39375
2019-04-15T00:00:00.000Z,13,383175
2019-03-31T00:00:00.000Z,13,389223
2019-03-31T00:00:00.000Z,13,1173981
2019-03-31T00:00:00.000Z,13,3632640
2019-03-31T00:00:00.000Z,13,375445
2019-03-31T00:00:00.000Z,13,51000
2019-03-31T00:00:00.000Z,13,500098
2019-04-01T00:00:00.000Z,13,2200000
2019-03-31T00:00:00.000Z,13,167875
2019-03-31T00:00:00.000Z,13,138995
2019-03-31T00:00:00.000Z,13,19125
2019-02-15T00:00:00.000Z,13,83500
2019-03-31T00:00:00.000Z,13,210500
2019-03-15T00:00:00.000Z,13,80375
2019-03-15T00:00:00.000Z,13,149400
2019-02-15T00:00:00.000Z,13,185625
2019-03-15T00:00:00.000Z,13,150000
2018-09-30T00:00:00.000Z,13,469000
2019-03-15T00:00:00.000Z,13,586625
2019-02-28T00:00:00.000Z,13,709844
2019-03-15T00:00:00.000Z,13,3821140
2019-03-15T00:00:00.000Z,13,93125
2016-10-31T00:00:00.000Z,13,64260
2016-10-31T00:00:00.000Z,13,358955
2016-09-30T00:00:00.000Z,13,59179
2016-09-30T00:00:00.000Z,13,17570
2016-10-31T00:00:00.000Z,13,86509
2016-10-31T00:00:00.000Z,13,79645
2016-10-31T00:00:00.000Z,13,105506
2016-12-31T00:00:00.000Z,13,196605
2016-09-30T00:00:00.000Z,13,83085
2016-09-30T00:00:00.000Z,13,189831
2016-09-30T00:00:00.000Z,13,78413
2016-08-31T00:00:00.000Z,13,115917
2016-09-30T00:00:00.000Z,13,225106
2016-08-31T00:00:00.000Z,13,68002
2016-08-31T00:00:00.000Z,13,102223
2016-08-31T00:00:00.000Z,13,157276
2016-08-31T00:00:00.000Z,13,271142
2016-07-31T00:00:00.000Z,13,60244
2016-07-31T00:00:00.000Z,13,45792
2016-07-31T00:00:00.000Z,13,209245
2016-07-31T00:00:00.000Z,13,71610
